"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099523","presynaptic cytosol","9/4332","14/19717",0.000795102197628529,0.00703572991157338,0.00535258517375387,"793/23413/5533/5582/5579/1488/10458/120892/3064",9
"GO:0030176","integral component of endoplasmic reticulum membrane","50/4332","150/19717",0.00086216949139344,0.00754150555115411,0.00573736503649597,"7095/972/3309/10170/91319/7993/7466/550/57142/10237/51604/6238/51614/821/9695/56851/219855/8818/2542/54499/118813/284361/166929/79993/567/2923/6890/93380/9986/23141/619373/2081/54344/811/3119/2131/10134/3123/3117/6891/3122/3107/3133/3135/3134/3105/3115/3113/6892/3106",50
"GO:0005905","clathrin-coated pit","27/4332","69/19717",0.000936402005604072,0.00809774916209885,0.00616053951055311,"163/10188/4036/2060/7018/22848/4035/23677/23149/9026/6272/9873/1213/409/351/57007/29967/130340/55707/1173/1212/6517/8905/161/23048/22876/6453",27
"GO:0031227","intrinsic component of endoplasmic reticulum membrane","52/4332","158/19717",0.000956253328624104,0.00812789076031699,0.00618347038961801,"7095/972/3309/10170/57655/91319/7993/7466/550/57142/57488/10237/51604/6238/51614/821/9695/56851/219855/8818/2542/54499/118813/284361/166929/79993/567/2923/6890/93380/9986/23141/619373/2081/54344/811/3119/2131/10134/3123/3117/6891/3122/3107/3133/3135/3134/3105/3115/3113/6892/3106",52
"GO:0033267","axon part","110/4332","382/19717",0.00096124857874971,0.00812789076031699,0.00618347038961801,"3675/6792/7133/286/4653/5874/84062/23095/5923/5590/8514/22859/6717/23011/6790/22974/393/24137/4897/51199/6855/9810/793/79784/2901/23242/23413/7531/867/10094/1627/85461/3676/6711/22848/85440/23046/149371/23307/63923/2185/57616/9479/4035/57580/29993/23157/5582/135/23022/10749/4131/1131/55207/5025/3351/64780/2752/57471/10006/9585/23162/8620/5428/6647/351/55811/91653/6622/57451/2796/56288/2823/5800/7402/1525/118813/2890/7074/9162/127262/81544/27185/80128/134/7349/5579/4130/5368/1128/114787/7881/1605/9024/10540/57010/8851/3738/3737/5101/57698/51393/120892/388552/1778/4644/1500/10497/6453/594855",110
"GO:0030658","transport vesicle membrane","65/4332","208/19717",0.00114226651589977,0.00955236064395306,0.00726716696061164,"972/5874/84062/25956/56681/10590/966/10959/6855/9144/1363/7466/5869/8674/54812/1621/8675/80262/9143/6860/148281/51014/5861/50624/22872/6843/1213/127833/6622/5066/8448/9871/3708/81615/115827/2890/6396/127262/6811/553115/132204/567/10972/1212/79772/3119/90411/9501/9230/3916/120892/3123/3117/10497/3122/3107/3133/3135/3134/3105/594855/8906/3115/3113/3106",65
"GO:0098978","glutamatergic synapse","101/4332","349/19717",0.00126555577240753,0.010468347204371,0.00796402373940665,"6405/163/6792/2534/54476/25897/999/84062/387/5590/56850/5217/490/27091/25978/2060/4897/3717/11252/3356/11151/8766/793/5327/10397/8775/5518/2901/23413/8787/5023/5573/7531/6678/1627/8745/6711/7143/2185/5533/10755/6780/1948/79414/821/135/80758/2319/6860/10810/1131/148281/2045/5879/53826/9746/6843/375/1609/80728/8525/3688/2823/5800/1814/9456/814/8526/2890/7074/27020/3084/9162/176/70/29/2905/3359/378/1128/27065/10636/1605/6712/1488/10458/7525/3738/2066/5501/613/120892/84628/4644/1500/10497/116443/6453/4067/3690/140735",101
"GO:0030663","COPI-coated vesicle membrane","11/4332","20/19717",0.0012924639781838,0.0105759686816975,0.00804589912847864,"51226/10959/372/10945/22818/1314/51014/11014/23423/9276/26286",11
"GO:0042581","specific granule","52/4332","160/19717",0.00131279062972686,0.0106280177576823,0.0080854965996615,"26/3683/221/4057/7133/7414/1535/8514/6793/966/4069/51382/10857/945/5023/9761/5777/84329/5199/84766/1116/1118/1794/64114/10970/6843/121260/11322/7226/6518/963/3608/2040/101/3689/1536/567/3903/3684/126014/719/160364/326624/10855/4973/3728/5912/9725/961/5005/5004/23601",52
"GO:0044853","plasma membrane raft","38/4332","109/19717",0.00136657357148617,0.0109469735568524,0.00832814918911242,"30846/999/3937/1495/483/4040/5566/119/3717/11252/3055/3356/858/857/657/5573/867/6404/84830/356/83483/2319/4038/8631/481/9472/925/931/3689/476/10395/8436/64805/3684/1605/284119/2149/120892",38
