"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","external side of plasma membrane","157/4332","393/19717",3.93957027610501e-16,2.99801298011591e-13,2.2808038440608e-13,"3675/974/928/920/923/972/11119/3604/8692/2213/4162/5788/4036/3682/966/2683/5027/3902/2323/4897/3568/7018/3594/3560/958/51311/959/2208/10859/9466/10148/973/945/7472/7036/657/5023/921/969/10384/9308/1235/11120/3593/942/11148/914/356/1441/29126/3762/941/729230/7852/5340/51744/3598/10385/54718/696/1236/3543/3559/3824/8482/4283/2028/939/57007/79054/1238/2044/3561/3688/10666/925/931/8764/912/909/911/910/913/2207/115650/3689/917/643/3570/1234/149233/1493/29851/131450/1230/308/117531/567/915/1524/2675/8754/3575/3627/64805/84168/3684/2266/2243/2244/5621/10663/1605/2829/10803/57493/6403/57124/2015/930/283316/940/811/1003/1237/2147/343413/6517/10159/1232/1233/2811/5034/3916/11118/2833/7293/4059/5133/7442/100/80380/1438/916/2214/56244/4277/3107/3133/3135/3134/3105/22914/100528032/7124/3106/100423062",157
"GO:0030667","secretory granule membrane","120/4332","298/19717",6.18671351360419e-13,2.35404449192639e-10,1.79089075393806e-10,"952/3683/221/928/7305/6556/7133/535/5874/1535/23200/387/8514/6793/6717/7879/27074/26002/5788/334/10890/966/2683/10959/1832/22931/51382/10326/9218/10857/84061/57020/945/8778/858/857/5023/5878/8153/1363/10312/9761/5869/8876/9749/6678/4033/81833/84329/976/3071/1621/57826/64753/27180/148229/684/10288/2319/6860/967/64114/10970/5879/7097/50624/6843/11010/121260/3687/11322/7226/6518/963/2212/127833/6622/5066/79930/2040/6836/3708/4718/101/79888/2207/51706/3689/23218/5284/1536/54495/3903/11314/5724/3684/10972/719/160364/326624/4973/6403/374403/5870/9501/5912/10159/161/340061/3916/6402/9725/961/5660/170482/1378/150372/100049587/23601/3690",120
"GO:0000775","chromosome, centromeric region","86/4332","193/19717",1.96146724820156e-12,4.97558858627129e-10,3.78528767196792e-10,"7756/9918/55166/259282/54908/10734/54820/27127/10403/6790/332/7290/79019/9985/9770/2491/80152/11339/5516/5518/64151/57122/7272/1452/8850/1058/4751/1063/3070/348995/91687/11335/64105/55355/23157/55320/151648/6249/1786/891/55143/1783/57082/1062/84643/11004/83540/1060/91272/113130/79980/79682/253635/57405/64946/9184/220134/84295/701/6396/1780/92822/54069/222229/147841/151246/4085/6990/221150/5347/81620/4735/699/157570/51112/27085/10540/9212/55920/26039/9735/10320/5501/54821/1616/1639",86
"GO:0000776","kinetochore","66/4332","135/19717",4.47058637693353e-12,8.50529058211604e-10,6.47058554556169e-10,"7756/55166/259282/54908/54820/10403/332/79019/9985/9770/2491/80152/57122/7272/1452/8850/1058/4751/1063/348995/64105/55355/23157/55320/151648/6249/891/1783/57082/1062/84643/11004/83540/1060/91272/79980/79682/253635/57405/64946/9184/220134/84295/701/6396/1780/92822/222229/147841/151246/4085/6990/221150/5347/81620/4735/699/51112/27085/10540/9212/26039/9735/5501/54821/1639",66
"GO:0000779","condensed chromosome, centromeric region","59/4332","118/19717",1.8519430452738e-11,2.81865731490673e-09,2.14435510505388e-09,"7756/9918/259282/54908/54820/10403/6790/332/79019/9985/9770/80152/64151/57122/1452/1058/4751/1063/348995/11335/64105/55355/23157/55320/151648/891/57082/1062/84643/11004/83540/1060/91272/79980/79682/253635/57405/64946/9184/220134/84295/701/1780/92822/222229/147841/151246/4085/6990/221150/5347/81620/4735/699/9212/26039/9735/5501/54821",59
"GO:0000777","condensed chromosome kinetochore","54/4332","105/19717",3.2612222812853e-11,4.13631692676352e-09,3.14679342931037e-09,"7756/259282/54908/54820/10403/332/79019/9985/9770/80152/57122/1452/1058/4751/1063/348995/64105/55355/23157/55320/151648/891/57082/1062/84643/11004/83540/1060/91272/79980/79682/253635/57405/64946/9184/220134/84295/701/1780/92822/222229/147841/151246/4085/6990/221150/5347/81620/4735/699/26039/9735/5501/54821",54
"GO:0045121","membrane raft","120/4332","315/19717",4.74399097679157e-11,5.15739590476912e-09,3.92360155975243e-09,"8837/5244/920/695/2534/330/30846/7133/999/3937/1495/2824/841/5590/8692/483/4040/490/5566/119/55824/5788/7462/10580/3717/11252/3055/5230/3356/1445/3551/25999/973/858/857/657/5023/5573/9368/867/6404/84830/868/200576/7535/1820/7143/11315/914/962/356/2185/6385/2770/59272/83483/684/2319/4038/1910/7097/5045/8631/351/8915/481/7851/79054/2040/3688/10666/9472/2697/925/1525/3098/931/909/3689/476/836/6469/10395/6778/1398/8436/3635/64805/3684/10287/5621/10855/4973/1605/7096/10333/153129/3738/930/284119/91663/9495/55600/2149/5912/6517/302/3932/23621/130574/199920/120892/4641/84433/9289/27040/2013/1241/7124/4067",120
"GO:0098857","membrane microdomain","120/4332","316/19717",6.01246235429963e-11,5.71935481452753e-09,4.35112407219053e-09,"8837/5244/920/695/2534/330/30846/7133/999/3937/1495/2824/841/5590/8692/483/4040/490/5566/119/55824/5788/7462/10580/3717/11252/3055/5230/3356/1445/3551/25999/973/858/857/657/5023/5573/9368/867/6404/84830/868/200576/7535/1820/7143/11315/914/962/356/2185/6385/2770/59272/83483/684/2319/4038/1910/7097/5045/8631/351/8915/481/7851/79054/2040/3688/10666/9472/2697/925/1525/3098/931/909/3689/476/836/6469/10395/6778/1398/8436/3635/64805/3684/10287/5621/10855/4973/1605/7096/10333/153129/3738/930/284119/91663/9495/55600/2149/5912/6517/302/3932/23621/130574/199920/120892/4641/84433/9289/27040/2013/1241/7124/4067",120
"GO:0098687","chromosomal region","129/4332","349/19717",9.64849722774794e-11,8.15834043368465e-09,6.20663564358055e-09,"7756/9918/4361/55166/259282/54908/5888/10734/6672/54820/4175/27127/10403/4998/6790/332/7290/79019/4174/9985/9770/23347/2491/80152/11339/5516/4173/5518/2146/54780/2145/64151/57122/7272/1452/8850/1058/4751/1063/3070/348995/91687/55791/11335/64105/1017/55355/23157/7517/55320/7011/151648/6249/1786/3021/4221/891/79577/55143/1783/57082/1763/1062/79035/675/80119/84643/55135/11004/83540/142/1060/91272/113130/472/79980/79682/253635/57405/64421/64946/9184/220134/84295/701/6396/1780/92822/54069/222229/147841/79677/151246/80335/4085/7015/6990/221150/4176/5347/114785/81620/8290/4735/699/983/157570/51112/27085/64859/3981/545/10540/80169/9212/55920/11200/26039/9735/10320/5501/54821/51547/84464/641/29935/1616/1639/493861",129
"GO:0098589","membrane region","122/4332","328/19717",1.95893013554986e-10,1.49074583315344e-08,1.13411744689729e-08,"8837/5244/920/695/2534/330/30846/7133/999/3937/1495/2824/841/5590/8692/483/4040/490/5566/119/55824/5788/7462/10580/3717/11252/3055/5230/3356/1445/3551/25999/973/858/857/657/5023/5573/9368/867/6404/84830/868/200576/7535/1820/7143/11315/914/962/356/81833/2185/6385/2770/59272/83483/684/2319/4038/1910/7097/5045/8631/351/8915/481/7851/79054/2040/3688/10666/9472/2697/925/1525/3098/931/909/3689/476/836/6469/10395/6778/1398/8436/3635/64805/3684/10287/5621/10855/4973/1605/7096/10333/153129/3738/930/284119/91663/9495/55600/2149/5912/6517/302/3932/23621/130574/199920/120892/4641/84433/9289/23636/27040/2013/1241/7124/4067",122
"GO:0031252","cell leading edge","141/4332","403/19717",1.06116428701801e-09,7.34132747655187e-08,5.58507519483163e-08,"2268/51330/6792/51177/286/57514/999/1495/5662/10787/10347/387/5590/10235/490/10979/54518/2195/5829/54822/25/23616/11252/26499/5753/11151/23516/1021/23242/8976/81704/23189/23586/8729/84687/9368/10094/9750/56940/1627/26084/6711/7456/5341/22848/149371/2185/5290/7852/29993/23550/83543/89846/30817/135/5880/23022/9459/6249/9026/54869/23647/2319/10810/50649/55198/10253/3936/5879/28988/64005/10006/53905/23710/405753/50506/9051/7168/8631/25800/351/5872/375/8476/4651/221472/2934/8525/3688/5800/57630/8470/64092/2890/7074/70/117145/146206/10603/388325/72/134/5783/7401/64419/84059/10395/154810/378/5747/84168/65059/1605/5797/1464/10458/23625/3737/91663/9495/23526/302/221178/23396/4771/57698/81848/126432/51466/7442/4644/55742/4641/6277/1500/9578/199/6453/440829/348110/3690",141
"GO:0000793","condensed chromosome","88/4332","223/19717",2.37538515738579e-09,1.50639008730882e-07,1.14601915487911e-07,"7756/9918/259282/54908/5888/4438/10734/54820/4292/27127/10403/6790/332/8940/79019/9985/9770/80152/54780/64151/57122/1452/10051/1058/4751/1063/348995/56159/23397/11335/64105/1017/55355/23157/55320/151648/7153/891/57082/1062/675/84643/10609/11004/83540/84072/2177/1060/91272/113130/4288/79980/79682/253635/57405/64946/9184/220134/7273/84295/701/1780/92822/222229/147841/79677/151246/11073/3148/4085/6990/221150/5347/81620/4735/699/3981/150280/9212/26039/9735/5501/54821/171484/135458/641/493861/101928601",88
"GO:0010008","endosome membrane","158/4332","479/19717",1.23718731449941e-08,7.24230420256964e-07,5.50974107671803e-07,"163/8938/83930/6556/30846/535/5874/84062/10079/23200/54432/5662/10347/56850/9741/4040/9744/1183/7879/27074/8417/23011/25978/10890/2060/29887/55614/7018/117584/11252/4689/84174/128866/79953/51311/23062/8766/30844/4948/55353/10397/25999/29062/857/5878/10312/5869/51715/9896/8992/23527/8723/200576/2888/51652/9528/55686/29126/57826/5911/23163/84286/27243/78992/84440/80762/79412/10948/81846/55207/6272/967/64114/55198/51028/5879/63971/9856/6653/950/65082/5045/10040/1213/2064/81609/3756/5872/55016/221472/91782/245972/2209/9781/81615/255231/23643/118813/2890/9372/129531/912/909/911/910/1173/220002/151636/92421/51271/220972/79156/567/2923/124460/124997/27065/93380/84168/926/4615/150684/79666/153129/55920/3119/284417/5912/302/161/9230/3665/3916/23396/23621/3123/51284/3117/51135/55315/22876/3111/3108/3122/3107/3133/3135/3134/3105/55652/8906/3115/3113/3106/54106/3112/3109/11230",158
"GO:0030139","endocytic vesicle","108/4332","303/19717",3.05805474266955e-08,1.66227118512252e-06,1.26460910411147e-06,"163/928/23166/4057/7454/6556/972/535/4481/1535/9170/8692/7879/8417/4036/10890/2060/55614/7018/4689/11151/8766/857/8976/5878/83871/9693/81622/10312/5869/51715/6678/8992/7475/4688/84329/10755/4035/7471/5880/23149/9026/84440/2319/4193/55198/2317/153090/7097/950/1213/409/5872/9140/30011/245972/2934/10435/2209/1814/101/2890/653361/51735/1173/1493/117156/1536/122618/7184/567/2923/6890/4920/7096/10333/1212/811/54734/3119/161/752/9230/3916/338557/3123/51466/51284/3117/219972/100506658/4641/10497/22876/6891/3122/3107/3133/3135/3134/6453/3105/3115/3113/6892/3106/345611/54106",108
"GO:0001772","immunological synapse","23/4332","36/19717",7.6187540187675e-08,3.86524787218805e-06,2.94057172654184e-06,"923/490/8417/11151/951/1845/5573/7535/84868/8631/8915/963/81609/3001/27020/388325/399/940/3932/199920/84433/916/27040",23
"GO:0042611","MHC protein complex","18/4332","25/19717",1.31203554952522e-07,6.24036908242933e-06,4.7474970542031e-06,"972/567/3119/3123/3117/3111/3108/3122/3107/3133/3135/3134/3105/3115/3113/3106/3112/3109",18
"GO:0009898","cytoplasmic side of plasma membrane","62/4332","154/19717",2.25491708835368e-07,1.00940700249244e-05,7.67928420182368e-06,"2268/4145/2534/286/999/55359/387/8514/490/10979/2782/23011/5788/7188/1540/2767/57655/5996/5753/3055/128866/3551/858/9267/56341/54206/914/57488/10672/2185/2770/7187/26191/85397/640/5778/9630/2776/7074/26119/2035/146206/29127/2793/7881/79058/9854/55970/3728/488/7525/2788/9495/30820/3932/246329/22821/54331/1269/2760/6277/4067",62
"GO:0045335","phagocytic vesicle","55/4332","132/19717",2.83597197839266e-07,1.1989859308649e-05,9.12154729892377e-06,"4057/7454/6556/535/1535/7879/10890/55614/4689/11151/8766/83871/81622/10312/51715/8992/4688/84329/5880/55198/2317/7097/9140/245972/2934/10435/101/653361/1536/122618/567/2923/6890/7096/10333/811/54734/752/9230/3916/51466/51284/219972/4641/10497/6891/3107/3133/3135/3134/3105/6892/3106/345611/54106",55
"GO:0005774","vacuolar membrane","134/4332","412/19717",3.81232957776402e-07,1.52693832035706e-05,1.16165167189485e-05,"163/1534/9043/83930/972/535/11345/23200/56848/9741/79901/23503/7879/27074/2782/8417/4036/2683/2767/51382/10548/84557/9218/51311/286410/84061/80183/1203/4948/55353/5862/4125/8775/5878/51296/10312/8876/4012/10641/9528/55686/4033/6185/5826/4035/6560/84286/2770/10053/684/10948/81846/55207/6272/5025/967/64114/10970/29988/950/2028/23710/11010/121260/65082/1213/7226/55016/245972/2040/6836/51524/4718/130340/79888/2776/128338/6396/912/910/11182/126321/1173/220002/7805/5284/84283/23001/151636/256471/54468/220972/79156/124997/89849/114990/11337/719/2783/326624/10855/144577/220441/153129/2629/7056/3119/284417/8905/302/161/5587/340061/3916/3123/9725/51284/3117/9583/5660/55315/3111/3108/3122/3134/25851/55652/3115/3113/150372/345611/54106/3112/3109",134
"GO:0030135","coated vesicle","100/4332","289/19717",4.92271427567501e-07,1.87309278189434e-05,1.4249962376954e-05,"51226/5244/163/928/920/972/5874/10188/25956/56681/4036/966/2060/10959/7018/83394/201294/372/11018/23062/10945/1075/22818/1294/22848/8674/54812/1314/4035/29993/51614/10053/23677/23149/9026/6272/51014/11014/28988/29988/9856/22872/950/65082/85439/79748/5045/1213/351/375/127833/7851/2209/9871/2890/6396/55707/146456/26119/917/1173/6811/553115/1493/7401/23423/567/2801/915/3575/4920/10972/10287/10897/1212/3119/90411/6517/255324/161/9276/2157/10134/3123/3117/5265/22876/3122/3107/3133/3135/3134/79958/3105/163486/8906/3115/3113/3106/26286",100
"GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","41/4332","91/19717",7.88773267387683e-07,2.85836407848584e-05,2.1745628925475e-05,"2268/4145/2534/55359/387/8514/10979/2782/1540/2767/57655/5996/5753/3055/858/9267/54206/57488/10672/2185/2770/85397/640/9630/2776/7074/146206/29127/2793/7881/55970/488/7525/2788/30820/3932/246329/54331/1269/6277/4067",41
"GO:0098562","cytoplasmic side of membrane","67/4332","178/19717",1.38378101458719e-06,4.73565618619394e-05,3.60275385905895e-05,"2268/4145/2534/286/999/55359/387/8514/490/10979/2782/23011/5788/7188/1540/2767/2280/57655/5996/5753/3055/128866/3551/64926/858/9267/56341/54206/914/57488/10672/2185/2770/7187/26191/85397/640/5778/2796/9630/2776/7074/26119/2035/146206/29127/2793/7881/79058/9854/55970/3728/488/7525/2788/9495/30820/3932/246329/22821/54331/1269/120892/5770/2760/6277/4067",67
"GO:0005911","cell-cell junction","144/4332","459/19717",1.46749631828365e-06,4.73565618619394e-05,3.60275385905895e-05,"26/5244/55971/7454/1244/7414/999/3937/1495/5318/1001/387/5590/9948/28513/64398/5817/8647/1015/260425/79977/2195/10890/2683/2196/5027/10580/1832/23384/23616/11252/5411/28316/9218/11151/1445/7082/10397/54922/57817/24146/8777/23586/9124/9267/9693/595/1982/83461/5777/3702/1627/51421/1894/200576/7535/6801/11315/914/5493/9414/4072/2700/57826/23363/60437/5582/53834/7533/84952/5819/81/10298/2319/1825/1019/29109/4856/57619/84260/8631/7409/351/10256/963/481/81607/5872/8476/8994/30011/83604/56288/85456/90952/3688/9472/2697/27295/1525/7074/50848/120425/57125/200539/476/79778/360/154810/2125/29091/25932/3856/387357/1605/5797/57493/3728/488/147409/1674/10458/3737/25945/84552/1003/91663/5021/5912/575/1366/302/128239/5101/11187/89958/9863/100506658/1500/9578/916/27040/26025/4067",144
"GO:0005765","lysosomal membrane","116/4332","354/19717",1.49350523611898e-06,4.73565618619394e-05,3.60275385905895e-05,"163/1534/9043/83930/972/535/23200/56848/9741/79901/23503/7879/27074/2782/8417/4036/2683/2767/51382/10548/9218/51311/286410/84061/1203/4948/55353/5862/5878/51296/10312/8876/4012/10641/9528/55686/4033/5826/4035/6560/84286/2770/10053/684/10948/55207/6272/5025/967/64114/10970/29988/950/2028/11010/121260/65082/1213/7226/55016/245972/2040/6836/4718/130340/79888/2776/128338/6396/912/910/11182/126321/1173/220002/7805/5284/84283/151636/256471/54468/220972/79156/124997/114990/719/2783/326624/10855/144577/220441/153129/2629/3119/8905/302/161/3916/3123/9725/51284/3117/5660/55315/3111/3108/3122/3134/25851/55652/3115/3113/150372/54106/3112/3109",116
"GO:0001726","ruffle","65/4332","172/19717",1.68233797125268e-06,5.10596647219278e-05,3.8844754958241e-05,"2268/51330/6792/51177/5662/10787/10347/387/10235/54822/11252/5753/1021/23242/23189/23586/84687/9368/26084/7456/5341/29993/23550/83543/89846/30817/23022/6249/9026/54869/23647/50649/55198/10253/3936/5879/28988/7168/8631/4651/221472/2934/3688/64092/7074/117145/146206/10603/64419/10395/378/10458/91663/23526/302/221178/23396/4771/81848/126432/4644/4641/6277/199/3690",65
"GO:0098852","lytic vacuole membrane","116/4332","355/19717",1.744482631761e-06,5.10596647219278e-05,3.8844754958241e-05,"163/1534/9043/83930/972/535/23200/56848/9741/79901/23503/7879/27074/2782/8417/4036/2683/2767/51382/10548/9218/51311/286410/84061/1203/4948/55353/5862/5878/51296/10312/8876/4012/10641/9528/55686/4033/5826/4035/6560/84286/2770/10053/684/10948/55207/6272/5025/967/64114/10970/29988/950/2028/11010/121260/65082/1213/7226/55016/245972/2040/6836/4718/130340/79888/2776/128338/6396/912/910/11182/126321/1173/220002/7805/5284/84283/151636/256471/54468/220972/79156/124997/114990/719/2783/326624/10855/144577/220441/153129/2629/3119/8905/302/161/3916/3123/9725/51284/3117/5660/55315/3111/3108/3122/3134/25851/55652/3115/3113/150372/54106/3112/3109",116
"GO:0005875","microtubule associated complex","59/4332","152/19717",1.82650861439206e-06,5.14804835389763e-05,3.91649020629877e-05,"10048/4134/23095/54820/1781/51314/6790/64147/5829/55614/332/24137/7531/10112/8723/25981/23046/9928/89891/83544/6780/1769/83658/55112/10749/93323/4131/55143/9053/1783/63971/9493/3832/9585/1062/55605/84643/11004/54801/55567/1780/8682/27185/56992/6990/4130/90990/11337/10540/9212/144132/146909/57698/1778/1639/79441/3833/23354/140735",59
"GO:0000778","condensed nuclear chromosome kinetochore","12/4332","15/19717",2.89006931648714e-06,7.85479553516684e-05,5.97570723333808e-05,"10403/9985/1058/64105/55320/891/83540/1060/79980/701/5347/699",12
"GO:0055037","recycling endosome","65/4332","176/19717",4.17360072987905e-06,0.000109521039842688,8.33205227380573e-05,"55610/8938/933/30846/10079/23200/56850/9744/8417/10890/7018/117584/201294/11252/286410/8766/30844/10397/25999/23080/9896/51421/29126/26994/57826/5911/23163/84440/57111/57614/5879/9873/6653/351/5872/57007/1238/3688/255231/118813/2890/26119/1780/79778/10807/567/2923/27065/150684/79772/5912/9230/23621/4644/89848/22876/3107/3133/3135/3134/6453/3105/7124/3106/149466",65
"GO:0030134","COPII-coated ER to Golgi transport vesicle","40/4332","93/19717",4.47572333280201e-06,0.000113534181875411,8.63736081768809e-05,"972/25956/56681/966/10959/83394/11018/1075/1294/51614/51014/22872/79748/351/9871/2890/6396/146456/6811/553115/23423/567/2801/10972/10897/3119/90411/2157/3123/3117/5265/3122/3107/3133/3135/3134/3105/3115/3113/3106",40
"GO:0032155","cell division site part","30/4332","63/19717",5.87096699472077e-06,0.000144122770418791,0.000109644544892918,"5662/387/54820/23011/8766/79187/10112/1894/6242/11113/5585/23157/10426/85378/84440/4221/55165/9051/10733/1060/3688/389/29127/84936/3359/4735/200942/5501/4771/6840",30
"GO:0005798","Golgi-associated vesicle","65/4332","178/19717",6.44485204230184e-06,0.000153266637630991,0.000116600941554803,"51226/972/5874/25956/56681/966/10959/83394/372/11018/10945/1075/22818/1294/54812/1314/29993/51614/6272/51765/51014/11014/22872/79748/5045/1213/351/375/2796/9871/2697/2890/6396/146456/6811/553115/7401/23423/567/2801/10972/10897/1212/54503/3119/90411/6517/9276/2157/23621/120892/3123/3117/5265/3122/3107/3133/3135/3134/3105/8906/3115/3113/3106/26286",65
"GO:0005938","cell cortex","101/4332","308/19717",6.66959160492009e-06,0.000153804824586187,0.000117010379033686,"85477/7454/23187/999/387/5590/22844/9948/10979/10890/5829/4650/23616/55964/140730/22919/2010/11151/23406/793/64926/57817/857/23242/8976/8153/51411/10486/55770/1627/6242/9595/6711/7456/829/149371/80306/103910/5357/2185/800/10755/23157/631/11034/2770/81/9535/9026/9590/23647/2319/11005/2317/28988/57471/54874/57619/84260/10256/6622/4651/2934/56288/7402/389/2039/2035/10395/9833/2038/4735/399/29091/5747/8419/2244/9854/6712/1488/1212/84552/91663/1731/3059/302/752/7127/89958/27445/4771/23048/6261/1778/89848/444/1500/10497/830/1639/91828",101
"GO:0030027","lamellipodium","69/4332","193/19717",7.89322508883189e-06,0.000176283274956387,0.000134111351028443,"57514/999/1495/10787/387/10979/54518/2195/5829/23616/26499/11151/23516/8976/81704/84687/10094/56940/1627/2185/5290/89846/5880/23022/9459/2319/10810/5879/28988/64005/10006/9051/25800/351/5872/8476/4651/221472/2934/8525/3688/5800/57630/8470/70/146206/72/5783/7401/154810/5747/84168/65059/1605/5797/1464/23625/3737/221178/4771/57698/51466/55742/1500/9578/199/6453/348110/3690",69
"GO:0030670","phagocytic vesicle membrane","34/4332","76/19717",8.12963427570503e-06,0.000176283274956387,0.000134111351028443,"6556/535/1535/7879/10890/11151/83871/10312/51715/8992/84329/5880/55198/7097/9140/245972/1536/567/6890/7096/10333/811/54734/9230/3916/6891/3107/3133/3135/3134/3105/6892/3106/345611",34
"GO:0032154","cleavage furrow","27/4332","55/19717",8.33928764576863e-06,0.000176283274956387,0.000134111351028443,"5662/387/54820/23011/8766/79187/10112/1894/11113/5585/23157/84440/4221/55165/9051/10733/1060/3688/389/29127/84936/3359/4735/200942/5501/4771/6840",27
"GO:0030496","midbody","63/4332","173/19717",9.82191596204406e-06,0.000202012920192312,0.000153685740515625,"57787/3309/84062/259266/387/23503/1540/6790/332/24137/11078/23331/128866/55770/10112/1894/4751/1063/9928/11064/11113/5585/5911/23157/2770/84440/23111/55207/55143/64780/63971/9493/403/55165/9585/153020/1062/9960/1060/129531/29127/92421/10807/84936/7184/5347/4735/25932/983/79801/9212/55920/1731/302/200942/5501/84628/6840/1500/26112/55958/221477/23636",63
"GO:0000940","condensed chromosome outer kinetochore","11/4332","14/19717",1.06004774352805e-05,0.000212288508638117,0.000161503118820063,"259282/54908/10403/1063/891/91272/220134/701/221150/5347/699",11
"GO:0030666","endocytic vesicle membrane","61/4332","167/19717",1.20946704043377e-05,0.000236001132761564,0.000179543015449007,"163/928/23166/6556/972/535/4481/1535/7879/10890/2060/11151/857/8976/83871/10312/51715/8992/7475/84329/4035/7471/5880/23149/9026/4193/55198/7097/950/1213/9140/245972/2209/2890/1173/1536/567/6890/4920/7096/10333/811/54734/3119/161/9230/3916/3123/3117/6891/3122/3107/3133/3135/3134/3105/3115/3113/6892/3106/345611",61
"GO:0032153","cell division site","31/4332","68/19717",1.26208704104603e-05,0.000240112059559008,0.000182670492782978,"5662/387/54820/23011/8766/79187/8153/10112/1894/6242/11113/5585/23157/10426/85378/84440/4221/55165/9051/10733/1060/3688/389/29127/84936/3359/4735/200942/5501/4771/6840",31
"GO:0070820","tertiary granule","60/4332","164/19717",1.34173396607022e-05,0.000249038914190107,0.000189461792384755,"4057/6556/535/1535/387/8514/5236/8417/966/4069/1832/4318/57020/1512/945/8778/10312/5777/3071/57826/5199/10288/1118/5879/28988/6843/3687/11322/7226/963/3608/79930/2040/226/101/2207/3689/23218/1520/1536/567/3903/11314/5724/3684/126014/160364/4973/374403/5912/10159/161/3916/9725/961/170482/1378/5004/100049587/23601",60
"GO:0030662","coated vesicle membrane","65/4332","182/19717",1.47998239789854e-05,0.000268158715428759,0.000204007598707819,"51226/163/928/920/972/25956/56681/4036/966/2060/10959/7018/372/10945/22818/8674/54812/1314/10053/23149/9026/51014/11014/28988/29988/9856/22872/950/1213/127833/2209/9871/2890/6396/55707/26119/917/1173/6811/553115/23423/567/915/3575/4920/10972/1212/3119/90411/255324/161/9276/3123/3117/3122/3107/3133/3135/3134/3105/8906/3115/3113/3106/26286",65
"GO:0000780","condensed nuclear chromosome, centromeric region","16/4332","26/19717",1.53899205290342e-05,0.000272365802851047,0.000207208232337058,"10403/6790/9985/1058/64105/55320/151648/891/83540/1060/79980/701/5347/699/9212/26039",16
"GO:0019897","extrinsic component of plasma membrane","60/4332","165/19717",1.66142697179717e-05,0.000287351346713101,0.000218608812078575,"2268/4145/2534/999/1495/5652/55359/1001/387/8514/28513/10979/2782/1015/1540/2767/57655/5996/7018/5753/3055/28316/6247/858/7472/9267/22848/54206/57488/10672/2185/5340/60437/2770/85397/640/84958/9630/2776/7074/9162/146206/29127/2793/7881/55970/3728/488/7525/2788/1003/30820/302/3932/246329/54331/1269/6277/1500/4067",60
"GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane","17/4332","29/19717",2.06180002491624e-05,0.000341093438904622,0.000259494282312113,"972/821/811/3119/10134/3123/3117/3122/3107/3133/3135/3134/3105/3115/3113/6892/3106",17
"GO:0098553","lumenal side of endoplasmic reticulum membrane","17/4332","29/19717",2.06180002491624e-05,0.000341093438904622,0.000259494282312113,"972/821/811/3119/10134/3123/3117/3122/3107/3133/3135/3134/3105/3115/3113/6892/3106",17
"GO:0070821","tertiary granule membrane","32/4332","73/19717",2.46734189490344e-05,0.000399499400430111,0.000303927892989226,"6556/1535/8514/966/945/8778/57826/10288/6843/3687/11322/7226/963/2040/101/2207/3689/23218/1536/3903/11314/5724/3684/160364/4973/5912/10159/9725/961/170482/100049587/23601",32
"GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane","31/4332","71/19717",3.61157744060866e-05,0.000572585506729831,0.000435606928143588,"51226/51006/966/10959/11018/5862/10945/1075/57222/1294/51614/51014/79748/6836/2890/6811/23423/2801/6890/79058/10972/81876/811/90411/2055/340061/2157/10134/5265/6891/6892",31
"GO:0005913","cell-cell adherens junction","45/4332","117/19717",3.79896519195606e-05,0.000590002553281339,0.000448857326654314,"55971/7414/999/1495/5318/1001/28513/64398/5817/1015/10890/2196/10580/1832/28316/7082/10397/9124/1982/83461/11315/60437/5819/10298/2319/81607/56288/85456/2697/27295/1525/29091/1605/5797/3728/488/1674/10458/25945/1003/5021/302/11187/1500/4067",45
"GO:0005788","endoplasmic reticulum lumen","98/4332","309/19717",4.10672178315181e-05,0.000611169737296646,0.000464960724134664,"414/920/8635/3309/2155/1301/10954/27248/11320/54905/51661/1310/334/1307/7018/410/5155/412/91851/2158/5611/10232/10148/8729/7466/1075/51561/3593/8614/3827/590/1294/3488/7475/64175/845/6696/2322/7471/5199/3895/821/813/79709/4221/3915/10970/3569/10695/2098/60681/351/844/197/2719/11098/3698/340348/336/27433/339123/56983/11167/3490/213/4043/493869/51752/64167/6469/2200/7184/567/5479/2923/10098/3592/6383/51237/2266/2243/3913/1605/80124/258/811/2147/9403/2157/5034/64222/23621/1282/84570/5265/1288/1066/81567",98
"GO:0005819","spindle","108/4332","347/19717",4.14823491599899e-05,0.000611169737296646,0.000464960724134664,"7756/10460/259282/54908/4134/259266/54820/284403/8556/1540/57542/6790/22974/332/24137/55012/8317/112755/23384/23331/51199/7443/11083/22919/2010/56271/8766/5516/9094/26271/7272/10112/1894/4751/1063/9928/4033/10783/11335/23157/10426/51119/9787/55112/79000/85378/54617/151648/8881/9113/84440/93323/891/55207/79768/55143/9700/26586/79866/51203/9493/3832/403/9585/57520/1062/84643/1213/351/27436/79998/91272/54801/472/79980/26524/126731/220134/64210/701/1780/29127/84541/11073/56992/4085/6990/221150/5347/2801/83473/4735/10636/150468/983/79801/9657/83903/9212/55920/9735/146909/26112/1639/23636/79441/3833/23354",108
